Name,State,Value,Number_of_Observations_POR,Percentile_POR
S Fork Shields,MT,5.1,44,4.545454545454546
Kolob,UT,7.3,46,23.91304347826087
Smiley Mountain,ID,16.2,23,95.65217391304348
Grouse Camp,WA,4.2,42,0.0
Elk Cabin,NM,0.3,27,11.11111111111111
Peavine Ridge,OR,2.6,43,13.953488372093023
Greenpoint,OR,1.2,44,2.272727272727273
High Ridge,OR,4.6,46,0.0
Swift Creek,WA,17.5,22,13.636363636363635
North French Creek,WY,15.1,46,21.73913043478261
Mc Clure Pass,CO,5.2,44,4.545454545454546
Corral Pass,WA,15.0,42,14.285714285714285
Saddle Mountain,OR,0.0,45,40.0
Fallen Leaf,CA,3.1,43,32.55813953488372
Schwartz Lake,ID,5.6,28,17.857142857142858
Mica Creek,ID,4.3,33,0.0
Glen Cove,CO,1.2,20,35.0
Moses Mtn,WA,3.5,33,3.0303030303030303
Cole Canyon,WY,1.8,24,4.166666666666666
Elkhart Park G.S.,WY,8.4,44,68.18181818181817
Css Lab,CA,11.4,41,19.51219512195122
Bear Saddle,ID,4.8,43,0.0
Cinnabar Park,WY,8.5,21,0.0
Bison Lake,CO,6.8,39,0.0
Happy Jack,AZ,1.1,25,12.0
Upper Tsaina River,AK,11.4,20,20.0
Tower,CO,19.6,45,11.11111111111111
Mckenzie,OR,6.6,43,2.3255813953488373
Black Bear,MT,20.9,53,18.867924528301888
King Mountain,OR,0.0,43,25.581395348837212
Gunsight Pass,WY,10.2,26,80.76923076923077
Reno Hill,WY,3.5,42,2.380952380952381
Lily Pond,CO,3.3,44,6.8181818181818175
Hole-in-Rock,UT,1.7,39,0.0
Harts Pass,WA,47.5,42,95.23809523809523
Peterson Meadows,MT,5.5,54,33.33333333333333
Olallie Meadows,WA,11.9,42,4.761904761904762
Copper Camp,MT,22.3,46,58.69565217391305
Atlanta Summit,ID,14.6,43,23.25581395348837
MF Nooksack,WA,17.8,22,13.636363636363635
Giveout,ID,4.3,43,13.953488372093023
Summit Creek,AK,6.4,35,28.57142857142857
Timpanogos Divide,UT,7.7,46,19.565217391304348
Buckskin Lower,NV,2.3,44,4.545454545454546
Sage Creek Basin,WY,4.0,23,0.0
Mud Ridge,OR,6.0,45,6.666666666666667
South Mtn.,ID,0.0,43,0.0
Willow Creek Pass,CO,3.7,46,2.1739130434782608
Grave Springs,WY,2.7,32,3.125
Seeley Creek,UT,3.3,45,2.2222222222222223
Taylor Butte,OR,0.5,46,10.869565217391305
Workman Creek,AZ,0.0,44,18.181818181818183
Middle Fork Camp,CO,3.8,23,0.0
Wells Creek,WA,8.8,28,10.714285714285714
Pickle Keg,UT,4.8,46,2.1739130434782608
Stringer Creek,MT,5.7,23,17.391304347826086
Monument Creek,AK,3.6,42,50.0
Arbuckle Mtn,OR,3.3,46,0.0
Leavitt Lake,CA,27.3,35,34.285714285714285
Little Meadows,OR,3.1,44,6.8181818181818175
Shower Falls,MT,12.0,59,30.508474576271187
Garfield R.S.,ID,4.2,44,13.636363636363635
Park Cone,CO,3.0,44,2.272727272727273
Fremont Pass,CO,4.6,44,0.0
Madison Plateau,MT,13.4,57,35.08771929824561
Wolverine,WY,6.4,44,27.27272727272727
White Horse Lake,AZ,0.1,44,15.909090909090908
Wildhorse Divide,ID,3.7,40,0.0
Carrot Basin,MT,18.3,58,56.896551724137936
Salmon Meadows,WA,3.3,42,4.761904761904762
Cumbres Trestle,CO,9.1,44,11.363636363636363
Placer Basin,MT,11.2,44,54.54545454545454
Adin Mtn,CA,3.2,40,7.5
New Fork Lake,WY,6.5,39,43.58974358974359
Carson Pass,CA,14.3,20,30.0
Battle Mountain,WY,3.2,39,2.564102564102564
Eilertson Meadows,OR,4.2,44,11.363636363636363
Crater Meadows,ID,15.3,40,0.0
Mud Flat,ID,0.1,44,2.272727272727273
Gallegos Peak,NM,4.2,44,9.090909090909092
Red River Pass #2,NM,1.2,45,2.2222222222222223
Kings Cabin,UT,2.1,45,2.2222222222222223
Townsend Creek,WY,3.6,44,9.090909090909092
Mowich,WA,0.0,26,38.46153846153847
Three Creeks Meadow,OR,1.5,44,0.0
Brundage Reservoir,ID,13.2,38,15.789473684210526
Bear Basin,ID,5.4,44,2.272727272727273
Whiskey Park,WY,13.2,38,15.789473684210526
Marquette,WY,1.7,44,2.272727272727273
Mores Creek Summit,ID,8.0,42,0.0
Badger Pass,MT,25.3,45,84.44444444444444
Trinity Mtn.,ID,17.7,44,20.454545454545457
Buffalo Park,CO,5.0,29,3.4482758620689653
Mt. Alyeska,AK,10.2,46,8.695652173913043
Sylvan Lake,WY,12.0,44,31.818181818181817
Red Hill,OR,9.9,46,8.695652173913043
Crowder Flat,CA,0.1,25,16.0
Mosquito Ridge,ID,11.9,42,0.0
Sonora Pass,CA,10.1,46,32.608695652173914
Beaver Reservoir,OR,2.6,44,2.272727272727273
